epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.4629,1.11777,6.48799,1.42326,0.81007,0.19643,0.13707,0.09284,0.97204,6.67879,1.23862,0.000301783,0.000301783,0.000301783
2,75.8383,1.18248,2.76416,1.42198,0.72535,0.06463,0.08384,0.05615,1.24277,4.87856,1.55587,0.000600792,0.000600792,0.000600792
3,105.559,1.2737,2.57502,1.47358,0.5966,0.10247,0.09502,0.06267,1.36518,4.22678,1.62004,0.0008958,0.0008958,0.0008958
4,140.799,1.36192,2.45556,1.56374,0.42836,0.18495,0.12994,0.07308,1.4123,3.76009,1.62081,0.000891002,0.000891002,0.000891002
5,175.805,1.42888,2.58145,1.55661,0.63291,0.1335,0.12512,0.08405,1.44196,3.24721,1.61352,0.000885002,0.000885002,0.000885002
6,210.62,1.4029,2.38773,1.53414,0.76276,0.1668,0.19277,0.1378,1.33768,4.83488,1.50627,0.000879003,0.000879003,0.000879003
7,243.758,1.32833,2.22812,1.47352,0.67117,0.1652,0.17282,0.10926,1.46548,3.34048,1.6575,0.000873004,0.000873004,0.000873004
8,270.496,1.27475,2.01616,1.47557,0.83324,0.18495,0.1756,0.11585,1.46138,2.79853,1.51514,0.000867004,0.000867004,0.000867004
9,299.378,1.27397,2.12901,1.46427,0.65846,0.25604,0.21752,0.13664,1.34106,2.59811,1.61124,0.000861005,0.000861005,0.000861005
10,328.751,1.23029,2.03041,1.39045,0.73293,0.14371,0.19422,0.1218,1.33746,3.01152,1.51393,0.000855005,0.000855005,0.000855005
11,358.819,1.19219,2.00814,1.38703,0.67083,0.19898,0.18401,0.11903,1.38871,2.85492,1.58116,0.000849006,0.000849006,0.000849006
12,391.303,1.27178,1.95375,1.41185,0.70809,0.23002,0.2197,0.14583,1.20056,2.36416,1.40718,0.000843007,0.000843007,0.000843007
