epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.94,1.05073,7.32323,1.35364,0.84517,0.15451,0.13386,0.09744,1.29182,8.09948,1.29992,0.000301783,0.000301783,0.000301783
2,47.2592,1.26109,3.3912,1.47431,0.82484,0.16755,0.18443,0.11654,1.53266,4.07324,1.59178,0.000600792,0.000600792,0.000600792
3,69.3261,1.30084,2.62739,1.48681,0.86291,0.18875,0.18941,0.10832,1.51034,4.19426,1.50206,0.0008958,0.0008958,0.0008958
4,91.494,1.41287,2.71735,1.55296,0.67732,0.14478,0.16747,0.09686,1.69978,3.45334,1.60909,0.000891002,0.000891002,0.000891002
5,113.526,1.33543,2.36392,1.52624,0.62925,0.11875,0.12987,0.0863,1.55624,6.05768,1.62693,0.000885002,0.000885002,0.000885002
6,135.217,1.33643,2.29092,1.52286,0.4677,0.17308,0.13677,0.09697,1.36828,6.90948,1.34799,0.000879003,0.000879003,0.000879003
7,157.418,1.35843,2.2867,1.52461,0.74952,0.21751,0.21909,0.14786,1.56994,2.85166,1.48629,0.000873004,0.000873004,0.000873004
8,180.367,1.34508,2.17704,1.51019,0.68073,0.18118,0.20637,0.11693,1.61109,3.21736,1.52911,0.000867004,0.000867004,0.000867004
9,203.793,1.30566,2.14642,1.48919,0.72027,0.20181,0.20516,0.13437,1.50228,2.60379,1.43062,0.000861005,0.000861005,0.000861005
10,226.868,1.22074,2.00824,1.38693,0.71327,0.229,0.20104,0.13083,1.61986,2.50069,1.54654,0.000855005,0.000855005,0.000855005
11,249.347,1.18782,2.02905,1.39197,0.94,0.18335,0.21399,0.14745,1.43734,2.82691,1.42316,0.000849006,0.000849006,0.000849006
12,271.489,1.14168,1.88216,1.34265,0.90879,0.21105,0.21492,0.15257,1.46108,4.44436,1.35124,0.000843007,0.000843007,0.000843007
13,293.773,1.26058,1.92167,1.3967,0.9476,0.21618,0.23665,0.16951,1.45466,2.35775,1.39464,0.000837007,0.000837007,0.000837007
14,317.496,1.19223,1.93877,1.36223,0.89839,0.18789,0.18012,0.13043,1.47628,2.64624,1.44077,0.000831008,0.000831008,0.000831008
15,339.837,1.11566,1.82254,1.34422,0.89863,0.22423,0.22858,0.16446,1.38688,2.29593,1.29011,0.000825008,0.000825008,0.000825008
16,361.555,1.08194,1.74338,1.29484,0.88754,0.17634,0.19101,0.1432,1.43118,2.66892,1.28139,0.000819009,0.000819009,0.000819009
17,383.514,1.10953,1.6521,1.31862,0.88427,0.19187,0.19546,0.14741,1.44479,2.86361,1.27746,0.00081301,0.00081301,0.00081301
18,405.212,1.09038,1.69577,1.32646,0.8496,0.20027,0.17522,0.13491,1.54602,2.9112,1.46786,0.00080701,0.00080701,0.00080701
19,428.257,1.02148,1.6139,1.2894,0.74229,0.21642,0.21417,0.16886,1.34576,2.8466,1.24142,0.000801011,0.000801011,0.000801011
20,451.295,1.08623,1.82087,1.30506,0.74052,0.21331,0.22685,0.17773,1.42009,3.08261,1.33404,0.000795011,0.000795011,0.000795011
21,474.326,1.01917,1.9183,1.23546,0.75939,0.21457,0.2472,0.19957,1.44931,3.78459,1.36238,0.000789012,0.000789012,0.000789012
