epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.6555,1.08532,5.82959,1.3907,0.81868,0.08588,0.10788,0.06465,1.17084,7.7536,1.41465,0.000301783,0.000301783,0.000301783
2,47.338,1.17314,2.84691,1.39806,0.6758,0.20663,0.17653,0.10141,1.25995,5.07032,1.52428,0.000600792,0.000600792,0.000600792
3,70.9627,1.32259,2.544,1.48663,0.60372,0.1335,0.10031,0.06348,1.53854,4.35656,1.72436,0.0008958,0.0008958,0.0008958
4,92.975,1.45705,2.51192,1.6177,0.77611,0.16794,0.11826,0.06815,1.39021,5.32271,1.66616,0.000891002,0.000891002,0.000891002
5,115.499,1.43029,2.6671,1.52856,0.85502,0.14707,0.15457,0.08678,1.43216,4.02668,1.58367,0.000885002,0.000885002,0.000885002
6,137.507,1.42003,2.3385,1.54166,0.83157,0.15902,0.1378,0.09639,1.36579,3.74757,1.57257,0.000879003,0.000879003,0.000879003
7,159.399,1.39278,2.3084,1.50758,0.60287,0.18835,0.15972,0.1173,1.19981,3.53142,1.48137,0.000873004,0.000873004,0.000873004
8,181.534,1.2404,2.02502,1.47635,0.54467,0.19807,0.21089,0.13018,1.56143,3.05628,1.73378,0.000867004,0.000867004,0.000867004
9,203.166,1.28914,2.21997,1.47693,0.80929,0.1301,0.11858,0.078,1.34564,2.84327,1.5665,0.000861005,0.000861005,0.000861005
10,225.226,1.24633,2.10409,1.40125,0.82755,0.23002,0.19123,0.13217,1.36385,2.91891,1.52193,0.000855005,0.000855005,0.000855005
11,247.678,1.19117,1.96584,1.37292,0.65725,0.18495,0.19287,0.12855,1.2759,2.41044,1.49514,0.000849006,0.000849006,0.000849006
12,270.315,1.29572,1.982,1.42147,0.90462,0.17474,0.19549,0.14094,1.30765,2.6262,1.51785,0.000843007,0.000843007,0.000843007
13,292.351,1.20177,2.01566,1.35533,0.90291,0.24203,0.2098,0.15446,1.26548,2.271,1.44019,0.000837007,0.000837007,0.000837007
14,314.262,1.1734,1.83322,1.33624,0.89037,0.21301,0.24192,0.18561,1.14072,2.16802,1.40823,0.000831008,0.000831008,0.000831008
15,336.346,1.16986,1.7863,1.35378,0.94319,0.19458,0.23035,0.16817,1.42816,2.77179,1.56313,0.000825008,0.000825008,0.000825008
16,358.435,1.17334,1.84296,1.33783,0.8695,0.22447,0.2237,0.166,1.20701,2.20397,1.4239,0.000819009,0.000819009,0.000819009
17,380.11,1.10046,1.70988,1.32915,0.87601,0.26828,0.24911,0.19213,1.07466,2.37507,1.33026,0.00081301,0.00081301,0.00081301
18,401.863,1.11158,1.68582,1.33199,0.91351,0.23384,0.23537,0.19123,1.15059,2.696,1.35219,0.00080701,0.00080701,0.00080701
19,423.53,1.10268,1.6242,1.2989,0.89716,0.17474,0.24946,0.17494,1.27701,2.01739,1.4409,0.000801011,0.000801011,0.000801011
20,445.183,1.1151,1.63097,1.3035,0.8364,0.20196,0.20963,0.16024,1.09612,2.0486,1.30839,0.000795011,0.000795011,0.000795011
21,467.543,1.04795,1.50901,1.28759,0.90066,0.20918,0.24161,0.1793,1.12741,2.49081,1.40851,0.000789012,0.000789012,0.000789012
22,490.279,1.10584,1.48864,1.33194,0.88339,0.23342,0.23089,0.17058,1.09333,2.21949,1.41352,0.000783013,0.000783013,0.000783013
23,512.677,1.04545,1.71961,1.28739,0.88632,0.21946,0.23988,0.18709,1.16858,2.34277,1.42803,0.000777013,0.000777013,0.000777013
24,534.523,1.06896,1.59891,1.28192,0.90102,0.19525,0.22079,0.17849,1.17575,2.15044,1.39592,0.000771014,0.000771014,0.000771014
25,556.595,1.04087,1.41722,1.27941,0.88878,0.21223,0.23092,0.17438,1.18208,2.18272,1.40991,0.000765014,0.000765014,0.000765014
26,578.296,1.04011,1.51107,1.24626,0.90391,0.21684,0.23739,0.18547,1.11929,2.39988,1.34109,0.000759015,0.000759015,0.000759015
27,600.374,0.94988,1.32234,1.17436,0.89173,0.24773,0.2394,0.1983,1.00674,1.96023,1.23361,0.000753016,0.000753016,0.000753016
28,622.249,0.94165,1.38762,1.22733,0.9109,0.24199,0.26233,0.20954,0.98971,2.48624,1.23809,0.000747016,0.000747016,0.000747016
29,644.105,0.92448,1.25946,1.19308,0.94856,0.24484,0.26895,0.23009,1.01242,1.93918,1.26535,0.000741017,0.000741017,0.000741017
30,667.633,0.93862,1.23015,1.20572,0.91094,0.24405,0.26909,0.21557,1.02888,1.88372,1.24865,0.000735017,0.000735017,0.000735017
31,690.082,1.00857,1.48064,1.25504,0.89243,0.19898,0.27085,0.19686,1.10784,1.94428,1.28255,0.000729018,0.000729018,0.000729018
32,713.106,0.88193,1.25953,1.14338,0.71891,0.25648,0.22491,0.16949,1.1934,2.19532,1.42316,0.000723019,0.000723019,0.000723019
33,735.836,0.91954,1.43999,1.19581,0.34405,0.26743,0.20112,0.16106,1.10038,2.20879,1.32755,0.000717019,0.000717019,0.000717019
34,758.31,0.96805,1.35639,1.22625,0.93978,0.20866,0.30452,0.21263,0.92016,1.66176,1.20787,0.00071102,0.00071102,0.00071102
35,780.508,0.87281,1.18438,1.17126,0.90785,0.24529,0.25567,0.19727,1.0581,1.92337,1.27865,0.00070502,0.00070502,0.00070502
36,802.225,0.88476,1.28604,1.17192,0.72471,0.24768,0.24565,0.19834,1.10883,2.00832,1.34775,0.000699021,0.000699021,0.000699021
37,824.108,0.89393,1.107,1.18926,0.74321,0.29577,0.26163,0.19264,1.0796,2.06605,1.27029,0.000693022,0.000693022,0.000693022
38,845.823,0.89415,1.16467,1.16605,0.90552,0.24438,0.24989,0.2098,0.99217,2.29576,1.22368,0.000687022,0.000687022,0.000687022
39,868.314,0.87376,1.30698,1.1921,0.73446,0.3091,0.28895,0.21501,0.97428,1.82917,1.20435,0.000681023,0.000681023,0.000681023
40,890.078,0.84016,1.21551,1.16195,0.91861,0.23847,0.24232,0.20648,1.00826,1.70874,1.23612,0.000675023,0.000675023,0.000675023
41,912.101,0.93564,1.15427,1.21679,0.73161,0.30765,0.2455,0.1975,1.00975,2.10499,1.22031,0.000669024,0.000669024,0.000669024
42,933.861,0.8665,1.16633,1.16831,0.6045,0.25258,0.26984,0.22836,0.96301,1.98956,1.20773,0.000663025,0.000663025,0.000663025
43,956.731,0.86078,1.11562,1.1661,0.79493,0.32839,0.30653,0.22741,1.01359,1.97711,1.27457,0.000657025,0.000657025,0.000657025
44,979.273,0.86195,1.08603,1.12116,0.93177,0.25736,0.26996,0.21015,1.04616,1.88662,1.31732,0.000651026,0.000651026,0.000651026
45,1001.88,0.89376,1.14028,1.1629,0.77302,0.30421,0.26267,0.21984,1.03645,1.98804,1.25174,0.000645026,0.000645026,0.000645026
46,1023.67,0.83847,1.0942,1.13384,0.46734,0.33358,0.29403,0.23223,0.96712,1.70769,1.22793,0.000639027,0.000639027,0.000639027
47,1045.81,0.8141,0.98983,1.13091,0.74215,0.28822,0.25221,0.22317,1.00511,2.02451,1.26254,0.000633028,0.000633028,0.000633028
48,1067.81,0.85827,1.06871,1.13261,0.57047,0.28795,0.26418,0.22425,1.09818,2.00269,1.35202,0.000627028,0.000627028,0.000627028
49,1089.8,0.82569,1.08634,1.16338,0.89576,0.26455,0.27797,0.23142,0.96242,1.9246,1.21527,0.000621029,0.000621029,0.000621029
50,1111.5,0.78045,0.97877,1.10129,0.59608,0.29893,0.27859,0.22854,0.89823,1.88125,1.18399,0.000615029,0.000615029,0.000615029
51,1133.17,0.85976,1.13704,1.15324,0.6027,0.3227,0.2971,0.25185,0.90549,2.0624,1.21908,0.00060903,0.00060903,0.00060903
52,1154.94,0.76622,1.05479,1.0886,0.74962,0.31109,0.26373,0.22989,0.95993,1.89566,1.27597,0.000603031,0.000603031,0.000603031
53,1176.56,0.79125,0.99904,1.13502,0.8154,0.28119,0.34303,0.26697,0.96212,1.73186,1.25603,0.000597031,0.000597031,0.000597031
54,1199.43,0.79249,1.0638,1.12838,0.39473,0.32653,0.26995,0.22234,0.94639,1.82753,1.20826,0.000591032,0.000591032,0.000591032
55,1221.95,0.7285,0.92778,1.06754,0.75404,0.34889,0.29283,0.24361,0.91621,1.71096,1.18242,0.000585032,0.000585032,0.000585032
56,1244.33,0.86302,1.05815,1.15153,0.60082,0.34694,0.30616,0.23369,0.97954,1.79958,1.26923,0.000579033,0.000579033,0.000579033
57,1267.7,0.80952,0.97914,1.14812,0.78015,0.32228,0.33712,0.28016,0.9917,1.76689,1.22388,0.000573034,0.000573034,0.000573034
58,1289.65,0.76089,0.94156,1.10664,0.23435,0.39536,0.32952,0.25726,1.00073,1.87055,1.21058,0.000567034,0.000567034,0.000567034
59,1311.58,0.73292,0.87373,1.12564,0.23158,0.55796,0.29426,0.24093,0.91438,1.87007,1.16107,0.000561035,0.000561035,0.000561035
60,1333.32,0.77188,1.06553,1.10883,0.56779,0.43267,0.33148,0.24702,0.94015,1.70065,1.19404,0.000555035,0.000555035,0.000555035
61,1355.08,0.7896,1.0072,1.1165,0.61655,0.32568,0.30733,0.25484,0.83008,1.70977,1.13065,0.000549036,0.000549036,0.000549036
62,1376.76,0.74362,0.9592,1.1,0.82509,0.3159,0.29207,0.24755,0.90988,1.75189,1.19151,0.000543037,0.000543037,0.000543037
63,1398.59,0.74192,0.90342,1.08741,0.52255,0.49921,0.3796,0.24497,0.88,2.02949,1.12856,0.000537037,0.000537037,0.000537037
64,1420.83,0.79831,0.89927,1.13224,0.78337,0.31888,0.28799,0.23559,0.89362,1.77499,1.19364,0.000531038,0.000531038,0.000531038
65,1443.28,0.75683,0.90873,1.13397,0.25453,0.34255,0.2701,0.2262,0.85757,1.79261,1.21836,0.000525038,0.000525038,0.000525038
66,1465.8,0.74535,0.89943,1.10788,0.77522,0.4777,0.45345,0.27063,0.82513,1.59777,1.10364,0.000519039,0.000519039,0.000519039
67,1487.92,0.73039,0.88005,1.08184,0.35059,0.50638,0.48109,0.31465,0.87162,1.87085,1.17219,0.00051304,0.00051304,0.00051304
68,1509.79,0.71359,0.90872,1.06854,0.47677,0.50068,0.36478,0.27238,0.9308,1.71154,1.21013,0.00050704,0.00050704,0.00050704
69,1531.56,0.7012,0.8516,1.06602,0.23871,0.39172,0.29089,0.24851,0.89299,1.96735,1.1707,0.000501041,0.000501041,0.000501041
70,1553.33,0.7649,0.86701,1.11966,0.4302,0.40086,0.3463,0.26967,0.8358,1.55341,1.13468,0.000495041,0.000495041,0.000495041
71,1575.13,0.69723,0.82658,1.08614,0.5003,0.41553,0.36056,0.27812,0.82354,1.65525,1.11378,0.000489042,0.000489042,0.000489042
72,1596.91,0.77213,0.90709,1.10971,0.53323,0.48945,0.3741,0.27523,0.87164,1.91733,1.17794,0.000483043,0.000483043,0.000483043
73,1618.83,0.75668,0.91704,1.12953,0.66128,0.35235,0.3206,0.24675,0.83395,1.62617,1.1337,0.000477043,0.000477043,0.000477043
74,1640.46,0.71275,0.84667,1.08639,0.44198,0.36749,0.32068,0.25258,0.86098,1.71635,1.13422,0.000471044,0.000471044,0.000471044
75,1662.52,0.71335,0.89849,1.08085,0.31805,0.55853,0.39841,0.2573,0.94629,1.82758,1.17158,0.000465044,0.000465044,0.000465044
76,1685.03,0.67598,0.80003,1.0422,0.27336,0.56193,0.33057,0.25266,0.89688,1.69058,1.16795,0.000459045,0.000459045,0.000459045
77,1707.73,0.67549,0.83928,1.0511,0.52868,0.3879,0.31993,0.24893,0.85497,1.74463,1.12404,0.000453046,0.000453046,0.000453046
78,1729.69,0.68142,0.87061,1.07782,0.75436,0.49277,0.47972,0.29248,0.94619,1.75805,1.18213,0.000447046,0.000447046,0.000447046
79,1751.53,0.7059,0.85426,1.08366,0.87714,0.33291,0.3837,0.27987,0.89114,1.62481,1.14952,0.000441047,0.000441047,0.000441047
80,1773.34,0.70659,0.83437,1.07738,0.32802,0.55839,0.51243,0.31263,0.88152,1.84795,1.18701,0.000435047,0.000435047,0.000435047
81,1795.23,0.70348,0.83723,1.05797,0.4338,0.42645,0.40552,0.28506,0.83442,1.53395,1.10139,0.000429048,0.000429048,0.000429048
82,1817.1,0.70579,0.84289,1.03273,0.30371,0.62415,0.4136,0.27359,0.87575,1.76799,1.15003,0.000423049,0.000423049,0.000423049
83,1838.8,0.70679,0.80709,1.0637,0.62871,0.54946,0.37364,0.269,0.84544,1.7441,1.09796,0.000417049,0.000417049,0.000417049
84,1861.96,0.71582,0.80887,1.06847,0.34561,0.5853,0.4096,0.29778,0.78963,1.52696,1.07094,0.00041105,0.00041105,0.00041105
85,1883.85,0.68229,0.94358,1.05454,0.53133,0.52133,0.45799,0.25711,0.81191,1.84963,1.09625,0.00040505,0.00040505,0.00040505
86,1906.29,0.66169,0.73021,1.0694,0.67686,0.39484,0.36439,0.25717,0.83264,1.59127,1.12413,0.000399051,0.000399051,0.000399051
87,1929.13,0.6307,0.75795,1.01264,0.68287,0.49957,0.35583,0.26274,0.89006,1.75135,1.1924,0.000393052,0.000393052,0.000393052
88,1951.6,0.66567,0.78754,1.01085,0.76221,0.4877,0.4888,0.26807,0.86633,1.82215,1.12829,0.000387052,0.000387052,0.000387052
89,1973.72,0.69324,0.7445,1.06071,0.60298,0.52338,0.4942,0.26575,0.85701,1.80254,1.10597,0.000381053,0.000381053,0.000381053
90,1995.81,0.67358,0.7374,1.05181,0.73099,0.49277,0.49576,0.31821,0.84102,1.68883,1.08386,0.000375053,0.000375053,0.000375053
91,2017.86,0.65666,0.73016,1.02996,0.27183,0.60388,0.50085,0.29092,0.81087,1.99074,1.10776,0.000369054,0.000369054,0.000369054
92,2039.5,0.64722,0.7134,1.02993,0.53064,0.57667,0.3868,0.27946,0.7632,1.82221,1.10286,0.000363055,0.000363055,0.000363055
93,2061.18,0.60526,0.70756,1.01115,0.71685,0.38128,0.39321,0.26937,0.79543,1.83238,1.11055,0.000357055,0.000357055,0.000357055
94,2082.87,0.66695,0.74701,1.03489,0.51984,0.34186,0.33901,0.25137,0.90409,1.96191,1.17441,0.000351056,0.000351056,0.000351056
95,2104.65,0.61683,0.70385,1.02926,0.57272,0.55456,0.47477,0.29565,0.88359,2.18821,1.15452,0.000345056,0.000345056,0.000345056
96,2126.22,0.71383,0.87124,1.04129,0.37934,0.58929,0.51976,0.31059,0.84296,1.84542,1.1032,0.000339057,0.000339057,0.000339057
97,2148.62,0.63808,0.74308,1.03954,0.28215,0.50635,0.33164,0.26419,0.79389,2.10219,1.10238,0.000333058,0.000333058,0.000333058
98,2171.46,0.61183,0.70337,1.05221,0.83698,0.312,0.34688,0.25851,0.82139,1.77282,1.08692,0.000327058,0.000327058,0.000327058
99,2194.22,0.62552,0.74584,1.04085,0.34285,0.53075,0.37323,0.26768,0.79264,1.87247,1.07959,0.000321059,0.000321059,0.000321059
