epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.5303,1.05448,6.8776,1.33745,0.93775,0.08908,0.12746,0.08376,1.32729,7.05995,1.35304,0.000301783,0.000301783,0.000301783
2,56.1171,1.29013,3.10349,1.4777,0.88779,0.11073,0.14419,0.08914,1.51816,4.02685,1.5243,0.000600792,0.000600792,0.000600792
3,78.5053,1.27063,2.62031,1.46359,0.7404,0.1232,0.13642,0.07584,1.65047,8.16783,1.58033,0.0008958,0.0008958,0.0008958
4,101.204,1.41041,2.66444,1.55386,0.82623,0.12003,0.12727,0.07247,1.6893,3.29037,1.5691,0.000891002,0.000891002,0.000891002
5,123.459,1.30893,2.36753,1.49508,0.78308,0.18921,0.17768,0.11223,1.55153,4.87339,1.72745,0.000885002,0.000885002,0.000885002
6,145.281,1.3509,2.26741,1.54015,0.60043,0.1865,0.14755,0.09225,1.59082,6.36518,1.68178,0.000879003,0.000879003,0.000879003
7,166.874,1.32663,2.24495,1.50622,0.63996,0.17871,0.167,0.10818,1.49864,2.99498,1.65065,0.000873004,0.000873004,0.000873004
8,188.665,1.2812,2.18213,1.49151,0.90867,0.13904,0.17158,0.11302,1.64058,3.05642,1.72305,0.000867004,0.000867004,0.000867004
9,210.434,1.24669,2.09769,1.45789,0.6508,0.21198,0.19162,0.13808,1.47164,2.46414,1.42069,0.000861005,0.000861005,0.000861005
10,232.579,1.23758,2.07592,1.40858,0.90909,0.20453,0.2039,0.126,1.62335,2.82202,1.54365,0.000855005,0.000855005,0.000855005
11,255.395,1.17007,2.12024,1.39348,0.85997,0.1978,0.2114,0.15515,1.4427,2.889,1.414,0.000849006,0.000849006,0.000849006
12,278.355,1.12986,1.83038,1.314,0.83769,0.21751,0.19859,0.14561,1.40043,2.56003,1.4085,0.000843007,0.000843007,0.000843007
13,301.126,1.25526,1.92567,1.39241,0.90549,0.20336,0.21886,0.15523,1.44738,2.46078,1.38142,0.000837007,0.000837007,0.000837007
14,323.323,1.13653,1.93166,1.32188,0.77521,0.20256,0.20959,0.15426,1.4359,3.4276,1.31322,0.000831008,0.000831008,0.000831008
15,345.363,1.13562,1.80073,1.36353,0.70331,0.19474,0.20208,0.14528,1.31219,2.52134,1.29514,0.000825008,0.000825008,0.000825008
16,366.865,1.08571,1.74362,1.29125,0.93053,0.20266,0.22272,0.16526,1.41324,3.0937,1.39428,0.000819009,0.000819009,0.000819009
17,388.804,1.12466,1.64092,1.3181,0.92274,0.19474,0.21211,0.15912,1.37283,2.40047,1.31733,0.00081301,0.00081301,0.00081301
18,410.477,1.07349,1.59622,1.29306,0.91157,0.22198,0.22936,0.16784,1.45618,2.9479,1.40365,0.00080701,0.00080701,0.00080701
19,432.252,1.02872,1.54863,1.3005,0.87332,0.2561,0.22107,0.14144,1.4935,2.471,1.41649,0.000801011,0.000801011,0.000801011
20,453.933,1.11833,1.8297,1.30434,0.91991,0.21618,0.24898,0.19542,1.39115,2.61179,1.34084,0.000795011,0.000795011,0.000795011
21,476.159,1.06283,1.80019,1.27723,0.93579,0.21507,0.24559,0.19387,1.42555,3.27459,1.48358,0.000789012,0.000789012,0.000789012
22,499.149,1.0476,1.6434,1.28947,0.91695,0.24757,0.24939,0.19966,1.30835,2.96047,1.28843,0.000783013,0.000783013,0.000783013
23,521.953,1.00733,1.42235,1.25067,0.92169,0.22705,0.22427,0.17333,1.45542,2.30199,1.39413,0.000777013,0.000777013,0.000777013
24,544.033,1.02844,1.58451,1.23362,0.76328,0.1982,0.22729,0.16461,1.36795,2.39851,1.38892,0.000771014,0.000771014,0.000771014
25,566.02,0.94996,1.52234,1.21102,0.94131,0.23457,0.24569,0.19415,1.33097,2.63353,1.27782,0.000765014,0.000765014,0.000765014
26,587.861,1.01342,1.46158,1.25747,0.80111,0.20875,0.25233,0.19098,1.38005,3.29981,1.33038,0.000759015,0.000759015,0.000759015
27,609.511,0.98191,1.36536,1.23402,0.78057,0.21043,0.29296,0.1984,1.33433,3.2512,1.2979,0.000753016,0.000753016,0.000753016
28,631.141,1.01876,1.40182,1.25996,0.88199,0.24469,0.24112,0.17445,1.37472,3.35586,1.2877,0.000747016,0.000747016,0.000747016
29,653.332,0.9038,1.28732,1.22716,0.8874,0.23707,0.23972,0.18154,1.32811,2.37413,1.29028,0.000741017,0.000741017,0.000741017
30,675.074,0.93251,1.42022,1.19868,0.43374,0.22613,0.24723,0.18986,1.28884,2.71182,1.30951,0.000735017,0.000735017,0.000735017
31,696.85,0.99943,1.46137,1.27705,0.89757,0.23138,0.3251,0.20457,1.29404,2.24599,1.34612,0.000729018,0.000729018,0.000729018
32,719.428,0.91044,1.23217,1.17017,0.79749,0.23379,0.27735,0.20857,1.31184,2.56361,1.34919,0.000723019,0.000723019,0.000723019
33,742.621,0.92417,1.32735,1.2019,0.93073,0.23523,0.25167,0.20882,1.31263,3.44118,1.33389,0.000717019,0.000717019,0.000717019
34,765.6,0.87744,1.18207,1.18171,0.96139,0.229,0.25567,0.19878,1.35114,3.03504,1.29419,0.00071102,0.00071102,0.00071102
35,787.625,0.93303,1.27489,1.22456,0.94337,0.229,0.23319,0.18892,1.39757,3.09297,1.27734,0.00070502,0.00070502,0.00070502
36,809.691,0.90241,1.33537,1.18748,0.95326,0.25177,0.25395,0.20464,1.42383,3.22197,1.41185,0.000699021,0.000699021,0.000699021
37,831.512,0.87678,1.26167,1.1673,0.75583,0.25044,0.25749,0.20942,1.21843,2.32005,1.30334,0.000693022,0.000693022,0.000693022
38,853.28,0.90826,1.2274,1.18118,0.95705,0.25464,0.3441,0.22829,1.28097,3.18716,1.26385,0.000687022,0.000687022,0.000687022
39,875.007,0.89522,1.32692,1.19712,0.92839,0.25177,0.25859,0.21631,1.19269,3.21604,1.36273,0.000681023,0.000681023,0.000681023
40,896.796,0.84744,1.17955,1.14175,0.62556,0.27384,0.27216,0.2251,1.40323,3.67118,1.45491,0.000675023,0.000675023,0.000675023
41,920.746,0.82459,1.12774,1.12903,0.94197,0.27106,0.27604,0.22523,1.31054,2.61679,1.32837,0.000669024,0.000669024,0.000669024
42,942.844,0.83079,1.11294,1.14785,0.95443,0.25752,0.26993,0.2177,1.3506,2.59507,1.38237,0.000663025,0.000663025,0.000663025
43,966.087,0.89512,1.14606,1.17053,0.62313,0.25464,0.26135,0.21873,1.38635,3.13311,1.47319,0.000657025,0.000657025,0.000657025
44,988.732,0.83578,1.15008,1.16192,0.93614,0.26039,0.28373,0.22433,1.46558,2.77461,1.49185,0.000651026,0.000651026,0.000651026
45,1011.63,0.90902,1.17539,1.1741,0.92715,0.26039,0.28256,0.21987,1.40165,2.38253,1.34039,0.000645026,0.000645026,0.000645026
46,1033.9,0.79981,1.03559,1.14279,0.79591,0.25752,0.27623,0.22517,1.41952,2.39583,1.34586,0.000639027,0.000639027,0.000639027
