type,val_image,train_image,hamming_distance
near,Anthracnose_11a08969_jpg.rf.e1a080e07be08ae44a8361294cac9b0e.jpg,Anthracnose_9fdcb585_jpg.rf.845b682885ecfcdf51595171374ee84e.jpg,2
near,Anthracnose_11a08969_jpg.rf.e1a080e07be08ae44a8361294cac9b0e.jpg,Anthracnose_aug_0ca4c272_jpg.rf.126af12e4d70b728ac6f0fd6d1359360.jpg,2
near,Anthracnose_11a08969_jpg.rf.e1a080e07be08ae44a8361294cac9b0e.jpg,Anthracnose_aug_d5132b1c_jpg.rf.b4985ff8bd9324611300835a58f0d633.jpg,2
near,Anthracnose_1833be9c_jpg.rf.5d24aad09f503578116c3e6e8c54e28a.jpg,Anthracnose_a7b75edd_jpg.rf.8f38dc4b135480dab06b623ae01972fb.jpg,2
near,Anthracnose_5ffbc92b_jpg.rf.9fd09365077e4609281e1b697746b805.jpg,Anthracnose_c9b57da2_jpg.rf.666f8e84fab85797996d3f93b8a6dabf.jpg,2
near,Anthracnose_a964d031_jpg.rf.d1e9c7384b7d443b0c7e3409c1ca8005.jpg,Anthracnose_049d5339_jpg.rf.6231e2332c6298b0124abb69de16debf.jpg,2
near,Anthracnose_a964d031_jpg.rf.d1e9c7384b7d443b0c7e3409c1ca8005.jpg,Anthracnose_2b1fd139_jpg.rf.1ce377cea5ecac83bd4c8ef16f5bd7a7.jpg,2
near,Anthracnose_a964d031_jpg.rf.d1e9c7384b7d443b0c7e3409c1ca8005.jpg,Anthracnose_8305874d_jpg.rf.c12be65983b7b6114eca1965bea35294.jpg,2
near,Anthracnose_aug_f4e20a28_jpg.rf.0e3aa8dfc430757ac3bac580d3c39049.jpg,Anthracnose_aug_040cbc36_jpg.rf.06b53f2bfe530ca1a4f5c723016a3384.jpg,2
near,Anthracnose_aug_fae1df8d_jpg.rf.d31623cb077f56d757d8ca042c336731.jpg,Anthracnose_91519e76_jpg.rf.ecd28128fe2637b45f0688d70c896a88.jpg,2
