epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1739.16,0.84193,1.14468,1.1497,0.76362,0.25752,0.26872,0.21653,1.22989,2.80529,1.27778,0.000663025,0.000663025,0.000663025
43,1774.07,0.85831,1.14013,1.15166,0.74556,0.27476,0.3261,0.22714,1.31399,3.58609,1.44645,0.000657025,0.000657025,0.000657025
44,1796.29,0.84342,1.20939,1.16375,0.75642,0.35367,0.36784,0.23724,1.22137,2.16977,1.27951,0.000651026,0.000651026,0.000651026
45,1818.37,0.87824,1.22655,1.1639,0.95223,0.25406,0.28637,0.22326,1.3615,2.8211,1.35681,0.000645026,0.000645026,0.000645026
46,1840.88,0.78951,1.03727,1.13769,0.94538,0.24889,0.2669,0.21511,1.31852,2.80335,1.34547,0.000639027,0.000639027,0.000639027
47,1863,0.82042,1.10411,1.12583,0.75099,0.25464,0.28773,0.21867,1.30734,2.48856,1.38585,0.000633028,0.000633028,0.000633028
48,1885.39,0.82497,1.09375,1.16798,0.57773,0.31233,0.25217,0.19822,1.37737,2.89381,1.47998,0.000627028,0.000627028,0.000627028
49,1935.36,0.81893,1.06526,1.15715,0.60859,0.34085,0.28499,0.21838,1.30131,2.48963,1.47171,0.000621029,0.000621029,0.000621029
50,1961.84,0.79354,1.09367,1.1474,0.76722,0.35367,0.31165,0.22537,1.25788,2.88308,1.34907,0.000615029,0.000615029,0.000615029
51,1984.82,0.78286,1.04857,1.12366,0.78767,0.24469,0.27065,0.22418,1.31103,3.13656,1.38443,0.00060903,0.00060903,0.00060903
52,2007.19,0.73719,0.96339,1.09359,0.95015,0.25464,0.27517,0.22949,1.39846,2.95791,1.48617,0.000603031,0.000603031,0.000603031
53,2030.22,0.82615,1.13349,1.14127,0.79068,0.25726,0.2884,0.23029,1.25692,2.80374,1.3105,0.000597031,0.000597031,0.000597031
54,2053.33,0.77307,1.00625,1.1087,0.9548,0.24354,0.2905,0.23116,1.32744,2.42477,1.37367,0.000591032,0.000591032,0.000591032
55,2076.06,0.78246,1.06425,1.09616,0.9358,0.23764,0.29155,0.22758,1.24241,2.2898,1.29818,0.000585032,0.000585032,0.000585032
56,2099.13,0.80023,1.0233,1.14462,0.2176,0.29218,0.32135,0.22132,1.28137,2.22076,1.35262,0.000579033,0.000579033,0.000579033
57,2122.25,0.76342,1.08923,1.10701,0.92812,0.25707,0.29857,0.23507,1.32867,1.9542,1.35755,0.000573034,0.000573034,0.000573034
58,2144.85,0.82064,1.14653,1.12502,0.77544,0.25532,0.2758,0.22256,1.35907,2.25128,1.36538,0.000567034,0.000567034,0.000567034
59,2168.12,0.73583,1.03881,1.08325,0.3972,0.42418,0.3083,0.23953,1.18881,2.21725,1.28561,0.000561035,0.000561035,0.000561035
60,2191.27,0.76763,1.00894,1.12207,0.46021,0.49755,0.30961,0.22948,1.26925,2.45865,1.32715,0.000555035,0.000555035,0.000555035
61,2218.79,0.70824,0.97457,1.04456,0.29125,0.3366,0.28319,0.23719,1.24539,2.35081,1.21176,0.000549036,0.000549036,0.000549036
62,2243.31,0.79367,1.12575,1.1148,0.97859,0.25155,0.26515,0.21899,1.27598,2.50597,1.27972,0.000543037,0.000543037,0.000543037
63,2268.83,0.76414,1.00656,1.13199,0.4248,0.26944,0.43281,0.23713,1.23674,2.98557,1.30656,0.000537037,0.000537037,0.000537037
64,2293.19,0.69822,1.01454,1.09773,0.79773,0.26459,0.27604,0.22551,1.1594,2.82327,1.23153,0.000531038,0.000531038,0.000531038
65,2316.21,0.77252,1.07487,1.12763,0.77407,0.23895,0.27654,0.2271,1.24314,2.51384,1.27976,0.000525038,0.000525038,0.000525038
66,2339.17,0.74404,0.94298,1.09648,0.70462,0.34062,0.35394,0.23229,1.24854,2.41787,1.22261,0.000519039,0.000519039,0.000519039
67,2362.56,0.74781,1.05008,1.12984,0.42623,0.35367,0.30685,0.22434,1.25269,2.55107,1.25249,0.00051304,0.00051304,0.00051304
68,2385.37,0.7166,0.93952,1.06455,0.46311,0.3508,0.29346,0.22644,1.19757,2.30676,1.25115,0.00050704,0.00050704,0.00050704
69,2408.28,0.73489,0.91361,1.11195,0.84252,0.28602,0.28055,0.21834,1.27222,2.7523,1.25658,0.000501041,0.000501041,0.000501041
70,2431.18,0.72968,0.942,1.0871,0.78416,0.24287,0.24422,0.20407,1.30739,2.33612,1.31275,0.000495041,0.000495041,0.000495041
71,2454.1,0.79596,0.97254,1.10923,0.75589,0.25409,0.28862,0.22024,1.25295,2.09316,1.26691,0.000489042,0.000489042,0.000489042
72,2476.74,0.70171,0.88021,1.0782,0.28105,0.35654,0.29424,0.2239,1.16526,1.94055,1.23829,0.000483043,0.000483043,0.000483043
73,2499.04,0.7099,0.89826,1.06703,0.43544,0.44329,0.31177,0.23782,1.28733,2.37596,1.38082,0.000477043,0.000477043,0.000477043
74,2521.33,0.66958,0.87731,1.07299,0.47329,0.33798,0.29805,0.23398,1.26029,2.05,1.26057,0.000471044,0.000471044,0.000471044
75,2543.59,0.70072,0.90871,1.03975,0.51134,0.33959,0.32829,0.24749,1.22952,1.93061,1.20201,0.000465044,0.000465044,0.000465044
76,2566.95,0.69359,0.92265,1.08511,0.51609,0.35367,0.34461,0.26067,1.21842,2.47214,1.2271,0.000459045,0.000459045,0.000459045
77,2589.71,0.70324,0.88336,1.06477,0.85909,0.33998,0.35242,0.26731,1.327,2.38242,1.2909,0.000453046,0.000453046,0.000453046
78,2613.03,0.68296,0.97701,1.04327,0.89227,0.31207,0.34335,0.24571,1.27033,2.54675,1.26572,0.000447046,0.000447046,0.000447046
79,2635.62,0.72073,0.90198,1.11155,0.4935,0.34394,0.31666,0.24529,1.27943,2.33447,1.28669,0.000441047,0.000441047,0.000441047
80,2657.9,0.71206,0.92428,1.09008,0.8001,0.25464,0.28493,0.2381,1.31173,2.8439,1.27716,0.000435047,0.000435047,0.000435047
81,2680.24,0.68142,0.91841,1.06543,0.45453,0.34085,0.32056,0.24628,1.34319,2.47848,1.29583,0.000429048,0.000429048,0.000429048
82,2703.25,0.69659,0.87028,1.08657,0.86336,0.33408,0.36483,0.26089,1.16633,2.42242,1.20285,0.000423049,0.000423049,0.000423049
83,2725.39,0.68342,0.82337,1.06171,0.44639,0.35388,0.30017,0.24467,1.20971,2.39664,1.2647,0.000417049,0.000417049,0.000417049
84,2747.93,0.64883,0.8029,1.06213,0.61388,0.35258,0.31523,0.25597,1.11979,2.47412,1.21529,0.00041105,0.00041105,0.00041105
85,2770.69,0.70806,0.95015,1.08324,0.95594,0.25177,0.28046,0.23342,1.14075,2.85362,1.25588,0.00040505,0.00040505,0.00040505
86,2793.15,0.70431,0.85873,1.09829,0.62866,0.32803,0.29634,0.23819,1.26216,2.29428,1.31519,0.000399051,0.000399051,0.000399051
87,2817.46,0.66103,0.84102,1.03772,0.53782,0.35279,0.2887,0.23145,1.24349,2.44423,1.21747,0.000393052,0.000393052,0.000393052
88,2840.48,0.6423,0.84237,1.01549,0.28995,0.33987,0.28773,0.23615,1.21594,2.52656,1.24569,0.000387052,0.000387052,0.000387052
89,2863.45,0.61305,0.76686,1.00807,0.26912,0.33798,0.28602,0.23705,1.21634,2.60073,1.27845,0.000381053,0.000381053,0.000381053
90,2886.31,0.67057,0.84518,1.05701,0.95316,0.25601,0.27743,0.23361,1.19184,2.62668,1.23688,0.000375053,0.000375053,0.000375053
91,2910.03,0.67015,0.843,1.07516,0.67742,0.34076,0.35008,0.25685,1.28434,2.67518,1.2984,0.000369054,0.000369054,0.000369054
92,2931.82,0.60315,0.79118,1.02489,0.29528,0.33798,0.27722,0.22584,1.29736,2.77982,1.32512,0.000363055,0.000363055,0.000363055
93,2953.71,0.6308,0.73923,1.01673,0.36683,0.52034,0.42406,0.27648,1.26315,2.94126,1.25573,0.000357055,0.000357055,0.000357055
94,2975.83,0.66485,0.82837,1.04935,0.87646,0.32587,0.47254,0.2771,1.27871,2.65737,1.23254,0.000351056,0.000351056,0.000351056
95,2997.83,0.62643,0.75134,1.01666,0.41037,0.50752,0.46615,0.27817,1.25549,2.70247,1.21138,0.000345056,0.000345056,0.000345056
96,3019.8,0.66453,0.82996,1.06327,0.8538,0.33794,0.35534,0.25446,1.18824,2.67072,1.18482,0.000339057,0.000339057,0.000339057
97,3041.86,0.62126,0.80453,1.01047,0.25542,0.41583,0.29595,0.24046,1.15994,2.66366,1.19696,0.000333058,0.000333058,0.000333058
98,3064.89,0.60178,0.80364,1.0532,0.44826,0.35654,0.38218,0.25516,1.2128,2.61585,1.24014,0.000327058,0.000327058,0.000327058
99,3088.22,0.60327,0.74846,1.02186,0.79503,0.26609,0.28773,0.2379,1.19588,2.67212,1.23403,0.000321059,0.000321059,0.000321059
100,3110.77,0.70494,0.81399,1.04837,0.64701,0.39888,0.30548,0.24448,1.3321,2.95486,1.33091,0.000315059,0.000315059,0.000315059
101,3133.07,0.60355,0.72702,1.01824,0.66109,0.35492,0.35313,0.24494,1.24906,2.71251,1.28006,0.00030906,0.00030906,0.00030906
102,3155.39,0.62322,0.75958,1.04708,0.55009,0.35126,0.35585,0.23849,1.19118,2.60057,1.21755,0.000303061,0.000303061,0.000303061
103,3177.54,0.68338,0.83976,1.04185,0.34723,0.34055,0.30842,0.23023,1.19766,2.71684,1.21461,0.000297061,0.000297061,0.000297061
104,3199.27,0.58374,0.72753,0.98049,0.63274,0.51746,0.28529,0.23403,1.19931,2.67268,1.27033,0.000291062,0.000291062,0.000291062
105,3221.14,0.59774,0.7421,0.99351,0.31445,0.35228,0.30748,0.24521,1.18414,2.54001,1.24907,0.000285062,0.000285062,0.000285062
106,3243.61,0.5626,0.74423,1.01456,0.51726,0.51948,0.37534,0.25597,1.04964,2.92622,1.14917,0.000279063,0.000279063,0.000279063
107,3265.43,0.61721,0.66992,1.03597,0.36159,0.51704,0.33856,0.25497,1.10998,2.71788,1.13884,0.000273064,0.000273064,0.000273064
108,3288.11,0.56897,0.71562,0.99926,0.96737,0.25333,0.3205,0.24995,1.07009,2.41875,1.16144,0.000267064,0.000267064,0.000267064
109,3311.39,0.61022,0.74389,1.02477,0.61588,0.35641,0.27703,0.21329,1.17094,2.40509,1.22903,0.000261065,0.000261065,0.000261065
110,3334.92,0.5597,0.65282,1.01811,0.23529,0.361,0.27913,0.22907,1.17296,2.51989,1.24591,0.000255065,0.000255065,0.000255065
111,3357.41,0.57481,0.63046,0.98953,0.484,0.35367,0.30282,0.24911,1.17819,2.74531,1.24838,0.000249066,0.000249066,0.000249066
112,3379.5,0.59603,0.69117,0.98854,0.31658,0.5263,0.29511,0.24462,1.20664,2.60494,1.24556,0.000243067,0.000243067,0.000243067
113,3401.79,0.55876,0.71834,0.98401,0.30382,0.34765,0.31353,0.24585,1.22114,2.44963,1.24783,0.000237067,0.000237067,0.000237067
114,3425.19,0.60141,0.68824,1.00035,0.32976,0.36078,0.32103,0.24968,1.23151,2.39916,1.28971,0.000231068,0.000231068,0.000231068
115,3447.11,0.5584,0.72418,0.99705,0.3257,0.36272,0.30565,0.24704,1.20857,2.58753,1.2782,0.000225068,0.000225068,0.000225068
116,3470.16,0.56479,0.63905,1.01582,0.32757,0.3421,0.2937,0.23681,1.2962,2.50922,1.34149,0.000219069,0.000219069,0.000219069
117,3492.11,0.52104,0.58937,0.99217,0.264,0.35654,0.2736,0.23254,1.30433,2.49631,1.31244,0.00021307,0.00021307,0.00021307
118,3513.71,0.59679,0.69874,1.02111,0.31189,0.35877,0.2936,0.2494,1.32679,2.34942,1.38559,0.00020707,0.00020707,0.00020707
119,3536.63,0.54399,0.6216,0.96367,0.317,0.51778,0.28514,0.23612,1.37485,2.43116,1.44003,0.000201071,0.000201071,0.000201071
120,3559.45,0.57285,0.67673,1.01055,0.3158,0.5156,0.31779,0.24244,1.3213,2.38891,1.41109,0.000195071,0.000195071,0.000195071
121,3582.11,0.56111,0.64896,1.01189,0.30915,0.34085,0.29818,0.23747,1.27914,2.31796,1.40917,0.000189072,0.000189072,0.000189072
122,3604.19,0.56452,0.61589,0.98225,0.30168,0.33826,0.30485,0.24375,1.22962,2.30182,1.38644,0.000183073,0.000183073,0.000183073
