epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,6147.55,0.24684,0.46389,0.17694,0.79456,0.25752,0.28571,0.24506,0.59613,1.39202,0.29502,0.000663025,0.000663025,0.000663025
43,6255.15,0.26699,0.48286,0.18923,0.91713,0.25177,0.30595,0.25143,0.52195,2.36646,0.29489,0.000657025,0.000657025,0.000657025
44,6359.19,0.24377,0.50813,0.19162,0.43432,0.43568,0.4326,0.30015,0.53258,0.98152,0.32094,0.000651026,0.000651026,0.000651026
45,6466.09,0.26215,0.52476,0.17967,0.80808,0.25752,0.2593,0.22981,0.58262,0.88536,0.38103,0.000645026,0.000645026,0.000645026
46,6571.42,0.24068,0.49581,0.19109,0.63851,0.40966,0.2804,0.21246,0.60798,0.81245,0.39863,0.000639027,0.000639027,0.000639027
47,6677.88,0.26184,0.48882,0.19305,0.9501,0.23274,0.29262,0.21608,0.54613,0.84419,0.37941,0.000633028,0.000633028,0.000633028
48,6783.34,0.26428,0.4692,0.19626,0.39975,0.37717,0.31233,0.24209,0.63018,1.07546,0.4398,0.000627028,0.000627028,0.000627028
49,6890.51,0.24956,0.47944,0.18293,0.4441,0.43988,0.43285,0.29607,0.6626,1.11182,0.36304,0.000621029,0.000621029,0.000621029
50,6998.02,0.23928,0.47864,0.17891,0.95688,0.21905,0.28233,0.23706,0.67402,1.05484,0.39518,0.000615029,0.000615029,0.000615029
51,7103.34,0.23849,0.49562,0.18308,0.63269,0.24469,0.25968,0.2294,0.59997,1.38372,0.32563,0.00060903,0.00060903,0.00060903
52,7210.95,0.23007,0.42105,0.17018,0.95142,0.26746,0.28468,0.24368,0.60787,0.83153,0.35954,0.000603031,0.000603031,0.000603031
53,7315.5,0.25484,0.44359,0.19039,0.96944,0.24182,0.2587,0.22187,0.65296,0.74297,0.36296,0.000597031,0.000597031,0.000597031
54,7422.89,0.21673,0.41466,0.15444,0.92975,0.25752,0.26839,0.22484,0.61656,0.96666,0.33312,0.000591032,0.000591032,0.000591032
55,7527.43,0.26176,0.48519,0.18346,0.38071,0.35606,0.33835,0.23048,0.51699,1.10962,0.29133,0.000585032,0.000585032,0.000585032
56,7634.35,0.25035,0.45418,0.17199,0.25861,0.33659,0.27335,0.22192,0.5675,1.0237,0.29542,0.000579033,0.000579033,0.000579033
57,7738.62,0.21875,0.46785,0.16885,0.949,0.229,0.26092,0.22144,0.58969,1.03387,0.3242,0.000573034,0.000573034,0.000573034
58,7844.27,0.25151,0.48923,0.18377,0.79095,0.25752,0.27347,0.23245,0.58011,2.4654,0.32697,0.000567034,0.000567034,0.000567034
59,7950.37,0.22383,0.49007,0.16429,0.95637,0.21905,0.26609,0.22836,0.54383,1.04745,0.2871,0.000561035,0.000561035,0.000561035
60,8056.28,0.24017,0.43421,0.17862,0.4252,0.32515,0.26841,0.21744,0.58411,0.9316,0.37209,0.000555035,0.000555035,0.000555035
61,8161.78,0.22128,0.41291,0.14224,0.79389,0.24182,0.25148,0.22492,0.55173,1.10761,0.33301,0.000549036,0.000549036,0.000549036
