type,val_image,train_image,hamming_distance,val_md5,train_md5,val_phash,train_phash
near,Anthracnose_aug_bfd468f9_jpg.rf.efd7b12fd3d5edc8a6cfae88f797ae49.jpg,Anthracnose_7746b8dc_jpg.rf.3f7f4cb3c0051636a7bcb148acf26b18.jpg,0,c4ba10a427560e79a3e1f8b91c9e87f7,8cdf3b8a549f65f1c367990dfd78603c,c3355ecce1b19c2c,c3355ecce1b19c2c
near,Anthracnose_aug_f4e20a28_jpg.rf.0e3aa8dfc430757ac3bac580d3c39049.jpg,Anthracnose_cc41d280_jpg.rf.4183514a26950995794252f46150f899.jpg,0,59bc2338b10e43f573223832e0cc6869,d69f00133e0cb942488d0c36018be914,a168d91ed2c7d0b5,a168d91ed2c7d0b5
near,Anthracnose_aug_fa0d46f5_jpg.rf.38c68a841335928c8eb294b0176e49c5.jpg,Anthracnose_56d99623_jpg.rf.8cf40ee95c72e271de477043ec6cd6d5.jpg,0,2be00a3ff973fe47c95500561b49962b,515d0ca1700fc0084ceca6c06883bbfb,c1305fcf21f3484f,c1305fcf21f3484f
near,Anthracnose_aug_fa0d46f5_jpg.rf.38c68a841335928c8eb294b0176e49c5.jpg,Anthracnose_c0c5d3e3_jpg.rf.5993f0f56b79aca8dff15f928cc36fc6.jpg,0,2be00a3ff973fe47c95500561b49962b,5dc40ff158315c142604ef3c0fc4691f,c1305fcf21f3484f,c1305fcf21f3484f
near,Anthracnose_b9af5c9a_jpg.rf.2208997c04fe1a47ed9b616b9c5bf436.jpg,Anthracnose_2fd8a424_jpg.rf.7465214168dbf1a190fd18dd1ded9627.jpg,0,0fccbcd1368630a6d041eb5357811ebb,5b9310472b157d81e8a78934c6f32d18,f039844f879389fa,f039844f879389fa
near,Anthracnose_cc67bc1d_jpg.rf.2fbb64f903eebca332ece276d097383f.jpg,Anthracnose_afc3650b_jpg.rf.88e5a34f863c6195ab1ea19f63e6d5d1.jpg,0,52437122c0462c477b73f6effd87c5a9,57c1acb1d5f59d60cc34ad21ab327d1d,ff5b18c5139c030f,ff5b18c5139c030f
near,Anthracnose_d9f35328_jpg.rf.2012953ccfc434cdf2e9cd42f89c3764.jpg,Anthracnose_0d48a083_jpg.rf.e9131055a76d2faa2e1771a57929bf88.jpg,0,79a2f62848b1e0ae8e46f0685b65cd48,da0659e3fd68850721c0bdc219878c46,a56d511a53865e1f,a56d511a53865e1f
near,Anthracnose_d9f35328_jpg.rf.2012953ccfc434cdf2e9cd42f89c3764.jpg,Anthracnose_aug_2ccbdccc_jpg.rf.af3b6850739494d53f2bfd0a2968f875.jpg,0,79a2f62848b1e0ae8e46f0685b65cd48,285951918dab3e1c58b69e2a2e125312,a56d511a53865e1f,a56d511a53865e1f
near,Anthracnose_d9f35328_jpg.rf.2012953ccfc434cdf2e9cd42f89c3764.jpg,Anthracnose_aug_98d412d7_jpg.rf.b2fbe50760987292a6711d8e5b4a60f7.jpg,0,79a2f62848b1e0ae8e46f0685b65cd48,cf24b3da82434f440594cc7aa7fe3020,a56d511a53865e1f,a56d511a53865e1f
near,Anthracnose_d9f35328_jpg.rf.2012953ccfc434cdf2e9cd42f89c3764.jpg,Anthracnose_aug_feec09fd_jpg.rf.79f37da0fc01b3a29af518f991b7382e.jpg,0,79a2f62848b1e0ae8e46f0685b65cd48,b798d37f63ba2b85bdf3fb2aebb65ef4,a56d511a53865e1f,a56d511a53865e1f
near,IMG_0176_jpg.rf.06930ee86de34f6c394d1313dac6d0d6.jpg,IMG_0176_jpg.rf.35f0f089841afd6cb801e51e3653dd4b.jpg,0,e4ce58cf0b5fce8024376cbfaef10a85,e4ce58cf0b5fce8024376cbfaef10a85,dbd2c6948c8f8b19,dbd2c6948c8f8b19
