epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.3377,1.06302,5.05441,1.31407,0.84543,0.12406,0.128,0.08581,1.38724,6.22482,1.44965,0.000301783,0.000301783,0.000301783
2,54.6902,1.31978,2.85118,1.48116,0.78153,0.1134,0.10416,0.05949,1.67009,5.11884,1.67966,0.000600792,0.000600792,0.000600792
3,79.7071,1.48547,2.61289,1.57479,0.91462,0.10345,0.12418,0.0754,1.72351,16.3408,1.65796,0.0008958,0.0008958,0.0008958
4,105.626,1.54386,2.83669,1.63349,0.65656,0.08621,0.13335,0.08647,1.74756,3.05799,1.73602,0.000891002,0.000891002,0.000891002
5,131.801,1.41412,2.45985,1.56959,0.77206,0.08908,0.13094,0.0836,1.44066,9.56125,1.66242,0.000885002,0.000885002,0.000885002
6,158.579,1.47506,2.39777,1.62975,0.4893,0.20159,0.17671,0.10151,1.30925,5.08212,1.56079,0.000879003,0.000879003,0.000879003
7,184.566,1.43019,2.31555,1.55972,0.54517,0.20314,0.20808,0.13209,1.33106,2.44184,1.41349,0.000873004,0.000873004,0.000873004
8,209.205,1.39464,2.27595,1.58709,0.94169,0.14334,0.16539,0.10965,1.64369,2.85852,1.59121,0.000867004,0.000867004,0.000867004
9,233.474,1.32672,2.25038,1.5378,0.72346,0.16622,0.18743,0.1212,1.68245,3.73896,1.58141,0.000861005,0.000861005,0.000861005
10,257.697,1.30947,2.14496,1.46703,0.58412,0.21618,0.23152,0.14935,1.65251,3.19199,1.50977,0.000855005,0.000855005,0.000855005
11,282.143,1.28402,2.12347,1.44752,0.76003,0.20049,0.21002,0.14394,1.22996,2.07148,1.44537,0.000849006,0.000849006,0.000849006
12,306.611,1.18897,1.95769,1.38305,0.79586,0.20696,0.23054,0.16762,1.40304,2.48582,1.45954,0.000843007,0.000843007,0.000843007
13,332.911,1.31013,2.11005,1.47736,0.54905,0.22613,0.20676,0.14494,1.41711,3.05462,1.47279,0.000837007,0.000837007,0.000837007
14,359.044,1.18877,1.96655,1.39701,0.75373,0.24466,0.24935,0.17814,1.41544,2.91305,1.45326,0.000831008,0.000831008,0.000831008
15,384.763,1.19311,1.83002,1.40015,0.77421,0.19187,0.21872,0.15913,1.54219,2.71858,1.5224,0.000825008,0.000825008,0.000825008
16,409.823,1.13836,1.80498,1.34526,0.70403,0.24182,0.23846,0.17602,1.46851,3.07179,1.47791,0.000819009,0.000819009,0.000819009
17,434.616,1.15538,1.74857,1.38161,0.79708,0.19261,0.23472,0.1766,1.32207,2.42053,1.34813,0.00081301,0.00081301,0.00081301
18,458.767,1.13456,1.68713,1.3545,0.87796,0.22114,0.1934,0.13427,1.5167,2.61301,1.59006,0.00080701,0.00080701,0.00080701
19,482.9,1.08501,1.58606,1.33725,0.95136,0.22817,0.23944,0.17224,1.48004,2.50052,1.42679,0.000801011,0.000801011,0.000801011
20,507.061,1.22772,1.95324,1.40636,0.83294,0.20394,0.24093,0.1665,1.42446,3.09305,1.41368,0.000795011,0.000795011,0.000795011
21,531.244,1.14341,1.94511,1.33613,0.89952,0.21331,0.23707,0.18103,1.35204,3.55294,1.27263,0.000789012,0.000789012,0.000789012
22,555.816,1.19397,1.80362,1.38181,0.76802,0.19706,0.23203,0.16004,1.50289,3.39493,1.35434,0.000783013,0.000783013,0.000783013
23,581.797,1.12292,1.5942,1.33257,0.75643,0.19054,0.23385,0.16754,1.45125,2.50283,1.33304,0.000777013,0.000777013,0.000777013
24,607.881,1.11632,1.72042,1.33531,0.9583,0.21751,0.25651,0.18658,1.45489,2.69125,1.41186,0.000771014,0.000771014,0.000771014
25,632.839,1.01169,1.62016,1.25683,0.74983,0.22878,0.22919,0.16612,1.46172,3.43681,1.31272,0.000765014,0.000765014,0.000765014
26,657.525,1.08936,1.56289,1.32533,0.883,0.23187,0.22684,0.16743,1.34039,3.10107,1.30066,0.000759015,0.000759015,0.000759015
27,682.418,1.06979,1.48107,1.3036,0.74528,0.25375,0.24497,0.19113,1.31772,4.13025,1.28271,0.000753016,0.000753016,0.000753016
28,706.712,1.09966,1.46521,1.31529,0.79625,0.25464,0.2611,0.19975,1.29555,2.66335,1.33506,0.000747016,0.000747016,0.000747016
29,731.262,1.00874,1.31928,1.28539,0.9323,0.25464,0.24913,0.16687,1.47384,2.69641,1.34028,0.000741017,0.000741017,0.000741017
30,757.149,1.03119,1.46617,1.26416,0.79712,0.20985,0.22751,0.16252,1.303,2.67983,1.28083,0.000735017,0.000735017,0.000735017
31,781.635,1.12655,1.56713,1.38209,0.95312,0.20014,0.23579,0.17156,1.28595,2.42151,1.23038,0.000729018,0.000729018,0.000729018
32,806.94,1.02374,1.37795,1.24944,0.94279,0.26237,0.24776,0.19044,1.27652,2.41496,1.27682,0.000723019,0.000723019,0.000723019
33,833.058,1.00066,1.45451,1.25226,0.952,0.22613,0.24975,0.20373,1.24467,2.76572,1.25622,0.000717019,0.000717019,0.000717019
34,859.376,0.93666,1.27947,1.22307,0.92691,0.25752,0.26299,0.20313,1.24532,3.30867,1.33483,0.00071102,0.00071102,0.00071102
35,884.467,1.00097,1.34693,1.26765,0.77519,0.26479,0.25673,0.20342,1.20352,2.85011,1.18646,0.00070502,0.00070502,0.00070502
36,909.424,0.96963,1.37951,1.22955,0.95188,0.26746,0.25672,0.20496,1.2797,2.60219,1.21788,0.000699021,0.000699021,0.000699021
37,933.552,0.91551,1.30836,1.20425,0.92926,0.23415,0.24212,0.18233,1.41615,2.4124,1.35165,0.000693022,0.000693022,0.000693022
38,957.741,0.97409,1.3118,1.23584,0.77491,0.229,0.24557,0.18953,1.29534,2.56338,1.29306,0.000687022,0.000687022,0.000687022
39,982.018,0.98124,1.43232,1.25378,0.77749,0.24203,0.26127,0.21083,1.23011,3.26345,1.30994,0.000681023,0.000681023,0.000681023
40,1006.6,0.91174,1.22077,1.1901,0.96302,0.26367,0.27405,0.2182,1.33297,2.43818,1.29068,0.000675023,0.000675023,0.000675023
41,1031.02,0.9166,1.2862,1.20359,0.76617,0.25752,0.26665,0.21907,1.30223,2.65226,1.2787,0.000669024,0.000669024,0.000669024
