epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.1227,1.05927,6.66509,1.37153,0.91848,0.10477,0.15874,0.10453,1.2801,6.58887,1.38985,0.000301783,0.000301783,0.000301783
2,56.3914,1.31645,3.13494,1.52004,0.87965,0.11737,0.16029,0.11364,1.47623,5.95323,1.51185,0.000600792,0.000600792,0.000600792
3,80.8963,1.3631,2.61305,1.5357,0.8285,0.14416,0.14944,0.0914,1.62866,4.33326,1.67151,0.0008958,0.0008958,0.0008958
4,107.025,1.49472,2.67707,1.60543,0.73424,0.18552,0.206,0.12637,1.39488,3.40811,1.56831,0.000891002,0.000891002,0.000891002
5,133.091,1.38405,2.45529,1.52741,0.70585,0.13616,0.15214,0.09231,1.5069,6.06,1.50307,0.000885002,0.000885002,0.000885002
6,159.751,1.44396,2.48283,1.56903,0.83713,0.17595,0.17672,0.11696,1.60404,6.65397,1.57568,0.000879003,0.000879003,0.000879003
7,184.782,1.44937,2.30401,1.5972,0.81766,0.18612,0.1418,0.09333,1.60614,3.70034,1.49741,0.000873004,0.000873004,0.000873004
8,209.723,1.4545,2.38317,1.62234,0.84869,0.22193,0.23654,0.12944,1.57133,3.95589,1.65041,0.000867004,0.000867004,0.000867004
9,234.119,1.30434,2.21531,1.5188,0.91977,0.21263,0.2288,0.1626,1.4809,3.13439,1.49457,0.000861005,0.000861005,0.000861005
10,258.446,1.26765,2.24526,1.44872,0.92142,0.19904,0.2352,0.16594,1.47731,2.29995,1.42182,0.000855005,0.000855005,0.000855005
11,282.779,1.25064,2.09864,1.43918,0.69241,0.18479,0.19828,0.12623,1.4615,2.49413,1.44488,0.000849006,0.000849006,0.000849006
12,307.127,1.20557,1.95505,1.37854,0.95096,0.22038,0.23785,0.16864,1.36139,2.49116,1.31976,0.000843007,0.000843007,0.000843007
13,331.358,1.29722,2.05514,1.44464,0.9768,0.18308,0.21735,0.16938,1.35094,2.36157,1.42006,0.000837007,0.000837007,0.000837007
14,357.699,1.23614,1.99396,1.40428,0.90931,0.22086,0.22472,0.15825,1.4526,2.70575,1.36845,0.000831008,0.000831008,0.000831008
15,384.01,1.21281,1.87758,1.41682,0.93373,0.17772,0.21655,0.15662,1.35215,3.1399,1.367,0.000825008,0.000825008,0.000825008
16,409.386,1.12206,1.80371,1.33832,0.93156,0.24182,0.26674,0.20123,1.26301,3.25795,1.31853,0.000819009,0.000819009,0.000819009
17,434.571,1.10828,1.69109,1.34791,0.89585,0.17485,0.22065,0.15589,1.36132,3.6634,1.48843,0.00081301,0.00081301,0.00081301
18,459.596,1.15931,1.72336,1.36373,0.6767,0.21751,0.19697,0.14439,1.41363,2.90502,1.41715,0.00080701,0.00080701,0.00080701
19,483.773,1.11602,1.68351,1.35397,0.96461,0.22018,0.251,0.17892,1.50846,2.59255,1.48353,0.000801011,0.000801011,0.000801011
20,508.017,1.22854,1.9306,1.38715,0.7232,0.24469,0.24945,0.19136,1.4143,2.4104,1.3645,0.000795011,0.000795011,0.000795011
21,532.084,1.09837,1.91726,1.3166,0.89597,0.23111,0.22996,0.17417,1.26119,2.58461,1.36728,0.000789012,0.000789012,0.000789012
22,556.647,1.14388,1.74751,1.37622,0.93833,0.22613,0.23825,0.17644,1.26196,2.44614,1.29816,0.000783013,0.000783013,0.000783013
23,581.725,1.06938,1.61298,1.31089,0.95738,0.22325,0.23813,0.18871,1.31747,2.30505,1.24468,0.000777013,0.000777013,0.000777013
24,607.62,1.106,1.71885,1.30029,0.90438,0.2488,0.25753,0.1913,1.31214,2.73268,1.29948,0.000771014,0.000771014,0.000771014
25,633.574,0.98483,1.63219,1.24402,0.94173,0.23033,0.25278,0.16861,1.44345,2.75818,1.43731,0.000765014,0.000765014,0.000765014
26,659.969,1.08482,1.59297,1.3239,0.78857,0.22613,0.24811,0.19328,1.46442,3.04663,1.40463,0.000759015,0.000759015,0.000759015
27,684.62,1.04986,1.49694,1.29196,0.76728,0.24924,0.24957,0.19018,1.34408,5.01444,1.34974,0.000753016,0.000753016,0.000753016
28,709.271,1.07897,1.48932,1.29411,0.75851,0.22681,0.23919,0.19121,1.44444,3.53684,1.42678,0.000747016,0.000747016,0.000747016
29,733.978,0.98315,1.35091,1.26161,0.96764,0.2332,0.26012,0.20168,1.38755,2.971,1.26801,0.000741017,0.000741017,0.000741017
30,758.171,1.01735,1.53596,1.25896,0.77409,0.25417,0.25493,0.19023,1.297,2.87487,1.20973,0.000735017,0.000735017,0.000735017
31,782.581,1.11111,1.57375,1.3672,0.94793,0.22613,0.23731,0.19008,1.29861,2.27582,1.29315,0.000729018,0.000729018,0.000729018
32,806.879,1.00189,1.33659,1.23829,0.76963,0.27569,0.27295,0.21445,1.33272,2.43928,1.33441,0.000723019,0.000723019,0.000723019
33,832.769,0.98856,1.46467,1.24256,0.95556,0.25177,0.27124,0.2154,1.27647,2.41996,1.34574,0.000717019,0.000717019,0.000717019
34,858.922,0.92311,1.27772,1.21605,0.77617,0.25464,0.26908,0.20902,1.36898,2.82286,1.41594,0.00071102,0.00071102,0.00071102
35,884.652,0.96305,1.38159,1.25395,0.9452,0.24182,0.25517,0.19526,1.35271,2.55384,1.32355,0.00070502,0.00070502,0.00070502
36,909.612,0.95851,1.36483,1.23682,0.93234,0.25259,0.25978,0.19657,1.3766,2.54024,1.39347,0.000699021,0.000699021,0.000699021
37,934.561,0.95049,1.3534,1.23282,0.94816,0.21905,0.27586,0.1928,1.3946,2.60355,1.45701,0.000693022,0.000693022,0.000693022
38,958.743,1.0212,1.29978,1.25321,0.72404,0.25042,0.24332,0.18679,1.39301,2.72972,1.37961,0.000687022,0.000687022,0.000687022
39,982.835,0.97084,1.36678,1.2458,0.61827,0.24675,0.26722,0.21413,1.40486,3.38554,1.46979,0.000681023,0.000681023,0.000681023
40,1007.1,0.88933,1.24181,1.18468,0.96736,0.25058,0.29285,0.21833,1.28446,2.10927,1.42705,0.000675023,0.000675023,0.000675023
41,1031.44,0.85196,1.23664,1.16124,0.90997,0.25752,0.26067,0.20807,1.30357,3.05877,1.36528,0.000669024,0.000669024,0.000669024
42,1055.85,0.86903,1.23454,1.19124,0.80514,0.21523,0.2641,0.20852,1.31506,2.41578,1.32323,0.000663025,0.000663025,0.000663025
43,1082.47,0.93428,1.28515,1.20956,0.80899,0.23508,0.25571,0.21289,1.2831,4.45121,1.22254,0.000657025,0.000657025,0.000657025
44,1108.43,0.88933,1.26919,1.19185,0.92725,0.25544,0.26839,0.22415,1.26365,2.36099,1.39144,0.000651026,0.000651026,0.000651026
45,1133.63,0.93032,1.25288,1.19156,0.78559,0.25464,0.25992,0.21218,1.2524,2.99046,1.28555,0.000645026,0.000645026,0.000645026
46,1158.43,0.83141,1.15146,1.17279,0.9528,0.25752,0.24926,0.20804,1.21911,2.36905,1.30383,0.000639027,0.000639027,0.000639027
47,1183.1,0.87268,1.24247,1.15841,0.93845,0.23861,0.25218,0.21491,1.25294,2.36813,1.28582,0.000633028,0.000633028,0.000633028
48,1207.31,0.8772,1.17528,1.22195,0.9506,0.22855,0.24438,0.1952,1.20886,2.49871,1.26088,0.000627028,0.000627028,0.000627028
49,1231.34,0.82903,1.19634,1.16029,0.63499,0.2423,0.25879,0.21619,1.28492,2.42482,1.36364,0.000621029,0.000621029,0.000621029
