epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4107.26,0.89766,1.34483,1.23063,0.77836,0.23182,0.25857,0.19895,0.96162,2.29796,1.16457,0.000663025,0.000663025,0.000663025
43,4151.85,0.90847,1.47842,1.20339,0.57894,0.26459,0.25701,0.19526,1.03692,2.75721,1.35159,0.000657025,0.000657025,0.000657025
44,4246.51,0.93906,1.41388,1.22874,0.60557,0.26172,0.29291,0.22009,1.13477,2.33705,1.2945,0.000651026,0.000651026,0.000651026
45,4343.81,0.89488,1.25859,1.23523,0.7518,0.27028,0.26857,0.20577,1.22886,3.8857,1.32946,0.000645026,0.000645026,0.000645026
46,4446.65,0.8868,1.23348,1.20246,0.95113,0.24735,0.25388,0.2047,1.31612,3.00682,1.3264,0.000639027,0.000639027,0.000639027
47,4529.75,0.89373,1.25028,1.21313,0.94942,0.19622,0.24792,0.19722,1.23217,2.67993,1.28789,0.000633028,0.000633028,0.000633028
48,4627.26,0.76525,1.05082,1.13613,0.96404,0.27034,0.27972,0.21566,1.11241,1.93057,1.24695,0.000627028,0.000627028,0.000627028
49,4728.01,0.88018,1.2061,1.20797,0.59379,0.26495,0.27909,0.21296,1.34551,2.63748,1.41762,0.000621029,0.000621029,0.000621029
50,4823.12,0.85162,1.18146,1.19144,0.61102,0.25339,0.25426,0.19884,1.08367,2.97471,1.22677,0.000615029,0.000615029,0.000615029
51,4910.35,0.87934,1.25136,1.20539,0.93298,0.22613,0.27453,0.19988,1.20474,2.59233,1.24287,0.00060903,0.00060903,0.00060903
52,4999.22,0.86207,1.19722,1.18546,0.96023,0.26428,0.26796,0.21021,1.19668,2.07639,1.34126,0.000603031,0.000603031,0.000603031
53,5101.68,0.8244,1.11047,1.1875,0.94296,0.2695,0.26931,0.22376,1.19545,2.16368,1.2466,0.000597031,0.000597031,0.000597031
54,5195.1,0.82857,1.09012,1.16113,0.95775,0.26904,0.27061,0.22405,1.26721,2.38241,1.34965,0.000591032,0.000591032,0.000591032
55,5292.98,0.84119,1.18709,1.23274,0.79983,0.25752,0.26904,0.22486,0.91987,2.02421,1.23743,0.000585032,0.000585032,0.000585032
56,5380.36,0.80399,1.02919,1.15432,0.94317,0.23164,0.24264,0.19827,1.15784,2.55789,1.21513,0.000579033,0.000579033,0.000579033
57,5472.77,0.80662,1.21242,1.12291,0.97065,0.24889,0.29878,0.23455,1.31296,2.25821,1.32465,0.000573034,0.000573034,0.000573034
58,5568.72,0.88262,1.06517,1.18017,0.78221,0.26746,0.2773,0.21653,1.17426,2.44513,1.22798,0.000567034,0.000567034,0.000567034
59,5657.74,0.76822,1.02221,1.13022,0.94068,0.24469,0.26678,0.20522,1.10275,2.49701,1.3405,0.000561035,0.000561035,0.000561035
60,5750.08,0.82438,1.07308,1.18243,0.94848,0.26762,0.28138,0.22093,1.20488,2.02338,1.27678,0.000555035,0.000555035,0.000555035
61,5837.78,0.81068,1.16239,1.17277,0.97104,0.22521,0.27543,0.2129,1.32427,2.07095,1.45115,0.000549036,0.000549036,0.000549036
62,5924.98,0.78144,1.00134,1.15208,0.76277,0.24469,0.25675,0.21272,1.24378,2.21857,1.29185,0.000543037,0.000543037,0.000543037
63,6023.22,0.72675,0.96198,1.11256,0.94469,0.24223,0.23721,0.19588,1.2403,2.3195,1.30983,0.000537037,0.000537037,0.000537037
64,6112.83,0.75403,1.0225,1.12102,0.9565,0.26172,0.26355,0.21922,1.13859,2.43479,1.22118,0.000531038,0.000531038,0.000531038
65,6197.92,0.72014,0.94934,1.07879,0.78444,0.24469,0.25093,0.21252,1.24446,2.44914,1.39246,0.000525038,0.000525038,0.000525038
66,6294,0.78576,1.0937,1.12644,0.93123,0.22739,0.26224,0.22152,1.2187,2.20156,1.34739,0.000519039,0.000519039,0.000519039
67,6392.44,0.78345,0.95302,1.15679,0.94278,0.25752,0.27311,0.22884,1.21371,2.40445,1.45913,0.00051304,0.00051304,0.00051304
